"Hero","Hero","Games","W","L","Win %","Name","Name"
"queenofpain","tusk","167","81","86","0.485","Queen of Pain","Tusk"
"dazzle","tusk","166","91","75","0.548","Dazzle","Tusk"
"gyrocopter","tusk","159","95","64","0.597","Gyrocopter","Tusk"
"nevermore","dazzle","158","93","65","0.589","Shadow Fiend","Dazzle"
"queenofpain","winter_wyvern","151","73","78","0.483","Queen of Pain","Winter Wyvern"
"tusk","winter_wyvern","143","72","71","0.503","Tusk","Winter Wyvern"
"queenofpain","dazzle","140","73","67","0.521","Queen of Pain","Dazzle"
"slardar","dazzle","139","79","60","0.568","Slardar","Dazzle"
"dark_seer","winter_wyvern","138","65","73","0.471","Dark Seer","Winter Wyvern"
"gyrocopter","winter_wyvern","135","68","67","0.504","Gyrocopter","Winter Wyvern"
"tiny","wisp","131","84","47","0.641","Tiny","Io"
"nevermore","winter_wyvern","128","74","54","0.578","Shadow Fiend","Winter Wyvern"
"dazzle","gyrocopter","121","58","63","0.479","Dazzle","Gyrocopter"
"tusk","ember_spirit","121","53","68","0.438","Tusk","Ember Spirit"
"lina","tusk","117","49","68","0.419","Lina","Tusk"
"earthshaker","queenofpain","115","64","51","0.557","Earthshaker","Queen of Pain"
"slardar","queenofpain","115","52","63","0.452","Slardar","Queen of Pain"
"queenofpain","night_stalker","113","50","63","0.442","Queen of Pain","Night Stalker"
"nevermore","tusk","110","65","45","0.591","Shadow Fiend","Tusk"
"dark_seer","ember_spirit","110","59","51","0.536","Dark Seer","Ember Spirit"
"bane","slardar","108","60","48","0.556","Bane","Slardar"
"dark_seer","spirit_breaker","108","56","52","0.519","Dark Seer","Spirit Breaker"
"bane","queenofpain","108","50","58","0.463","Bane","Queen of Pain"
"dazzle","ember_spirit","106","47","59","0.443","Dazzle","Ember Spirit"
"queenofpain","spirit_breaker","106","42","64","0.396","Queen of Pain","Spirit Breaker"
"bane","nevermore","105","63","42","0.600","Bane","Shadow Fiend"
"slardar","winter_wyvern","105","58","47","0.552","Slardar","Winter Wyvern"
"windrunner","slardar","104","46","58","0.442","Windranger","Slardar"
"ember_spirit","winter_wyvern","103","53","50","0.515","Ember Spirit","Winter Wyvern"
"windrunner","tusk","103","43","60","0.417","Windranger","Tusk"
"undying","tusk","101","52","49","0.515","Undying","Tusk"
"bane","tiny","99","57","42","0.576","Bane","Tiny"
"slardar","gyrocopter","99","56","43","0.566","Slardar","Gyrocopter"
"earthshaker","nevermore","98","56","42","0.571","Earthshaker","Shadow Fiend"
"queenofpain","dark_seer","98","47","51","0.480","Queen of Pain","Dark Seer"
"bane","tusk","94","52","42","0.553","Bane","Tusk"
"earthshaker","dazzle","93","52","41","0.559","Earthshaker","Dazzle"
"queenofpain","gyrocopter","92","48","44","0.522","Queen of Pain","Gyrocopter"
"bane","ember_spirit","92","46","46","0.500","Bane","Ember Spirit"
"bane","gyrocopter","91","46","45","0.505","Bane","Gyrocopter"
"ancient_apparition","tusk","91","43","48","0.473","Ancient Apparition","Tusk"
"dark_seer","gyrocopter","91","35","56","0.385","Dark Seer","Gyrocopter"
"nevermore","night_stalker","90","60","30","0.667","Shadow Fiend","Night Stalker"
"nevermore","spirit_breaker","90","50","40","0.556","Shadow Fiend","Spirit Breaker"
"night_stalker","winter_wyvern","89","43","46","0.483","Night Stalker","Winter Wyvern"
"nevermore","dark_seer","88","51","37","0.580","Shadow Fiend","Dark Seer"
"queenofpain","undying","88","45","43","0.511","Queen of Pain","Undying"
"earthshaker","winter_wyvern","87","54","33","0.621","Earthshaker","Winter Wyvern"
"dazzle","dark_seer","87","48","39","0.552","Dazzle","Dark Seer"
"juggernaut","winter_wyvern","87","37","50","0.425","Juggernaut","Winter Wyvern"
"earthshaker","gyrocopter","85","47","38","0.553","Earthshaker","Gyrocopter"
"juggernaut","tusk","85","44","41","0.518","Juggernaut","Tusk"
"windrunner","winter_wyvern","85","33","52","0.388","Windranger","Winter Wyvern"
"dazzle","night_stalker","84","42","42","0.500","Dazzle","Night Stalker"
"windrunner","dazzle","83","38","45","0.458","Windranger","Dazzle"
"night_stalker","ember_spirit","81","46","35","0.568","Night Stalker","Ember Spirit"
"disruptor","tusk","80","44","36","0.550","Disruptor","Tusk"
"nevermore","slardar","80","38","42","0.475","Shadow Fiend","Slardar"
"nevermore","ember_spirit","79","45","34","0.570","Shadow Fiend","Ember Spirit"
"bane","night_stalker","78","48","30","0.615","Bane","Night Stalker"
"slardar","tusk","78","41","37","0.526","Slardar","Tusk"
"ancient_apparition","ember_spirit","77","35","42","0.455","Ancient Apparition","Ember Spirit"
"bane","dazzle","76","44","32","0.579","Bane","Dazzle"
"queenofpain","alchemist","76","29","47","0.382","Queen of Pain","Alchemist"
"spirit_breaker","winter_wyvern","75","36","39","0.480","Spirit Breaker","Winter Wyvern"
"gyrocopter","disruptor","75","34","41","0.453","Gyrocopter","Disruptor"
"nevermore","rubick","74","37","37","0.500","Shadow Fiend","Rubick"
"nevermore","rattletrap","73","41","32","0.562","Shadow Fiend","Clockwerk"
"gyrocopter","undying","73","39","34","0.534","Gyrocopter","Undying"
"dark_seer","night_stalker","73","38","35","0.521","Dark Seer","Night Stalker"
"rattletrap","gyrocopter","72","30","42","0.417","Clockwerk","Gyrocopter"
"dazzle","spirit_breaker","71","36","35","0.507","Dazzle","Spirit Breaker"
"queenofpain","rattletrap","71","31","40","0.437","Queen of Pain","Clockwerk"
"queenofpain","ember_spirit","71","29","42","0.408","Queen of Pain","Ember Spirit"
"bane","dark_seer","70","40","30","0.571","Bane","Dark Seer"
"gyrocopter","rubick","70","32","38","0.457","Gyrocopter","Rubick"
"alchemist","tusk","69","37","32","0.536","Alchemist","Tusk"
"razor","tusk","69","31","38","0.449","Razor","Tusk"
"templar_assassin","tusk","68","42","26","0.618","Templar Assassin","Tusk"
"witch_doctor","tusk","68","34","34","0.500","Witch Doctor","Tusk"
"spirit_breaker","gyrocopter","68","32","36","0.471","Spirit Breaker","Gyrocopter"
"queenofpain","disruptor","68","29","39","0.426","Queen of Pain","Disruptor"
"templar_assassin","dazzle","67","37","30","0.552","Templar Assassin","Dazzle"
"slardar","lich","66","37","29","0.561","Slardar","Lich"
"rattletrap","winter_wyvern","65","29","36","0.446","Clockwerk","Winter Wyvern"
"spirit_breaker","ember_spirit","65","24","41","0.369","Spirit Breaker","Ember Spirit"
"lich","doom_bringer","64","41","23","0.641","Lich","Doom"
"lina","gyrocopter","64","26","38","0.406","Lina","Gyrocopter"
"night_stalker","gyrocopter","63","32","31","0.508","Night Stalker","Gyrocopter"
"dazzle","rattletrap","63","31","32","0.492","Dazzle","Clockwerk"
"slardar","ember_spirit","63","26","37","0.413","Slardar","Ember Spirit"
"witch_doctor","queenofpain","63","19","44","0.302","Witch Doctor","Queen of Pain"
"nevermore","disruptor","62","39","23","0.629","Shadow Fiend","Disruptor"
"juggernaut","queenofpain","62","33","29","0.532","Juggernaut","Queen of Pain"
"lina","dazzle","62","31","31","0.500","Lina","Dazzle"
"bane","winter_wyvern","62","26","36","0.419","Bane","Winter Wyvern"
"windrunner","gyrocopter","62","25","37","0.403","Windranger","Gyrocopter"
"nevermore","undying","61","36","25","0.590","Shadow Fiend","Undying"
"dark_seer","tusk","61","36","25","0.590","Dark Seer","Tusk"
"doom_bringer","winter_wyvern","61","36","25","0.590","Doom","Winter Wyvern"
"juggernaut","nevermore","61","35","26","0.574","Juggernaut","Shadow Fiend"
"templar_assassin","winter_wyvern","60","36","24","0.600","Templar Assassin","Winter Wyvern"
"templar_assassin","dark_seer","60","29","31","0.483","Templar Assassin","Dark Seer"
"queenofpain","doom_bringer","59","37","22","0.627","Queen of Pain","Doom"
"nevermore","ancient_apparition","59","34","25","0.576","Shadow Fiend","Ancient Apparition"
"dark_seer","ancient_apparition","59","32","27","0.542","Dark Seer","Ancient Apparition"
"disruptor","ember_spirit","59","32","27","0.542","Disruptor","Ember Spirit"
"queenofpain","ancient_apparition","59","31","28","0.525","Queen of Pain","Ancient Apparition"
"templar_assassin","gyrocopter","59","30","29","0.508","Templar Assassin","Gyrocopter"
"undying","ember_spirit","59","30","29","0.508","Undying","Ember Spirit"
"slardar","ancient_apparition","59","29","30","0.492","Slardar","Ancient Apparition"
"queenofpain","rubick","58","27","31","0.466","Queen of Pain","Rubick"
"windrunner","dark_seer","58","26","32","0.448","Windranger","Dark Seer"
"lina","winter_wyvern","58","25","33","0.431","Lina","Winter Wyvern"
"juggernaut","dazzle","57","32","25","0.561","Juggernaut","Dazzle"
"lina","slardar","56","32","24","0.571","Lina","Slardar"
"rubick","ember_spirit","56","22","34","0.393","Rubick","Ember Spirit"
"beastmaster","dazzle","55","29","26","0.527","Beastmaster","Dazzle"
"dazzle","huskar","54","35","19","0.648","Dazzle","Huskar"
"viper","tusk","54","30","24","0.556","Viper","Tusk"
"slardar","disruptor","54","25","29","0.463","Slardar","Disruptor"
"earthshaker","lina","54","17","37","0.315","Earthshaker","Lina"
"phantom_lancer","dazzle","53","30","23","0.566","Phantom Lancer","Dazzle"
"dazzle","alchemist","53","28","25","0.528","Dazzle","Alchemist"
"rubick","tusk","53","24","29","0.453","Rubick","Tusk"
"lina","spirit_breaker","53","23","30","0.434","Lina","Spirit Breaker"
"dark_seer","disruptor","53","23","30","0.434","Dark Seer","Disruptor"
"lina","ember_spirit","53","22","31","0.415","Lina","Ember Spirit"
"nevermore","gyrocopter","52","32","20","0.615","Shadow Fiend","Gyrocopter"
"undying","winter_wyvern","52","31","21","0.596","Undying","Winter Wyvern"
"dazzle","undying","52","30","22","0.577","Dazzle","Undying"
"bane","undying","52","29","23","0.558","Bane","Undying"
"lina","dark_seer","52","19","33","0.365","Lina","Dark Seer"
"earthshaker","tusk","51","31","20","0.608","Earthshaker","Tusk"
"windrunner","ember_spirit","51","30","21","0.588","Windranger","Ember Spirit"
"rattletrap","tusk","51","27","24","0.529","Clockwerk","Tusk"
"rattletrap","ember_spirit","51","26","25","0.510","Clockwerk","Ember Spirit"
"bane","juggernaut","51","23","28","0.451","Bane","Juggernaut"
"tiny","slardar","50","28","22","0.560","Tiny","Slardar"
"slardar","templar_assassin","50","27","23","0.540","Slardar","Templar Assassin"
"tiny","winter_wyvern","50","26","24","0.520","Tiny","Winter Wyvern"
"alchemist","winter_wyvern","50","23","27","0.460","Alchemist","Winter Wyvern"
"ancient_apparition","gyrocopter","49","28","21","0.571","Ancient Apparition","Gyrocopter"
"queenofpain","bounty_hunter","49","23","26","0.469","Queen of Pain","Bounty Hunter"
"invoker","tusk","49","22","27","0.449","Invoker","Tusk"
"dazzle","winter_wyvern","48","26","22","0.542","Dazzle","Winter Wyvern"
"night_stalker","tusk","48","26","22","0.542","Night Stalker","Tusk"
"spirit_breaker","tusk","48","24","24","0.500","Spirit Breaker","Tusk"
"lina","queenofpain","48","20","28","0.417","Lina","Queen of Pain"
"windrunner","disruptor","48","18","30","0.375","Windranger","Disruptor"
"tiny","queenofpain","48","17","31","0.354","Tiny","Queen of Pain"
"earthshaker","ember_spirit","48","16","32","0.333","Earthshaker","Ember Spirit"
"doom_bringer","tusk","47","29","18","0.617","Doom","Tusk"
"night_stalker","disruptor","47","26","21","0.553","Night Stalker","Disruptor"
"slardar","rubick","47","21","26","0.447","Slardar","Rubick"
"windrunner","night_stalker","47","20","27","0.426","Windranger","Night Stalker"
"lich","queenofpain","47","17","30","0.362","Lich","Queen of Pain"
"lich","ember_spirit","46","28","18","0.609","Lich","Ember Spirit"
"phantom_lancer","tusk","46","23","23","0.500","Phantom Lancer","Tusk"
"nevermore","witch_doctor","46","21","25","0.457","Shadow Fiend","Witch Doctor"
"dark_seer","rubick","46","17","29","0.370","Dark Seer","Rubick"
"nevermore","beastmaster","45","30","15","0.667","Shadow Fiend","Beastmaster"
"alchemist","undying","45","23","22","0.511","Alchemist","Undying"
"tiny","tusk","45","23","22","0.511","Tiny","Tusk"
"skeleton_king","ancient_apparition","45","22","23","0.489","Wraith King","Ancient Apparition"
"gyrocopter","alchemist","45","21","24","0.467","Gyrocopter","Alchemist"
"dark_seer","alchemist","45","15","30","0.333","Dark Seer","Alchemist"
"bane","doom_bringer","44","31","13","0.705","Bane","Doom"
"earthshaker","slardar","44","25","19","0.568","Earthshaker","Slardar"
"razor","winter_wyvern","44","23","21","0.523","Razor","Winter Wyvern"
"windrunner","undying","44","19","25","0.432","Windranger","Undying"
"lina","undying","44","19","25","0.432","Lina","Undying"
"slardar","undying","43","28","15","0.651","Slardar","Undying"
"juggernaut","disruptor","43","24","19","0.558","Juggernaut","Disruptor"
"dazzle","broodmother","43","19","24","0.442","Dazzle","Broodmother"
"slardar","night_stalker","43","19","24","0.442","Slardar","Night Stalker"
"windrunner","ancient_apparition","43","16","27","0.372","Windranger","Ancient Apparition"
"dazzle","doom_bringer","42","26","16","0.619","Dazzle","Doom"
"doom_bringer","ember_spirit","42","25","17","0.595","Doom","Ember Spirit"
"bane","lina","42","23","19","0.548","Bane","Lina"
"gyrocopter","wisp","42","17","25","0.405","Gyrocopter","Io"
"slardar","dark_seer","41","27","14","0.659","Slardar","Dark Seer"
"nevermore","queenofpain","41","24","17","0.585","Shadow Fiend","Queen of Pain"
"antimage","tusk","41","17","24","0.415","Anti Mage","Tusk"
"beastmaster","tusk","40","24","16","0.600","Beastmaster","Tusk"
"ancient_apparition","winter_wyvern","40","22","18","0.550","Ancient Apparition","Winter Wyvern"
"queenofpain","templar_assassin","40","20","20","0.500","Queen of Pain","Templar Assassin"
"dazzle","rubick","40","19","21","0.475","Dazzle","Rubick"
"bane","alchemist","40","17","23","0.425","Bane","Alchemist"
"rubick","winter_wyvern","40","15","25","0.375","Rubick","Winter Wyvern"
"phantom_lancer","queenofpain","40","14","26","0.350","Phantom Lancer","Queen of Pain"
"bane","wisp","39","27","12","0.692","Bane","Io"
"nevermore","vengefulspirit","39","25","14","0.641","Shadow Fiend","Vengeful Spirit"
"lich","tusk","39","23","16","0.590","Lich","Tusk"
"tiny","dazzle","39","23","16","0.590","Tiny","Dazzle"
"nevermore","skeleton_king","39","23","16","0.590","Shadow Fiend","Wraith King"
"earthshaker","ancient_apparition","39","22","17","0.564","Earthshaker","Ancient Apparition"
"beastmaster","queenofpain","39","21","18","0.538","Beastmaster","Queen of Pain"
